app_key,store,id,app_id,title,developer,category,installs_or_users,rating_avg,rating_count,iap_min,iap_max,pricing_raw,description,website_url,store_url,icon_url,version,release_date,last_update,relevance_score,scraped_at,drop_reason
play:com.kronickel.choreman.app,PlayStore,com.kronickel.choreman.app,family-chore-manager_playstore,Family Chore Manager,Kronickel,Kids,10000.0,4.0,101.0,3.99,39.99,$3.99 - $39.99 per item,"Family Chore Manager helps parents assign chores, send reminders, and track allowance in one place. Kids get a clear daily list of tasks, and parents can quickly see what’s done, what’s due, and what still needs attention.Features:Create and Assign Chores Easily:Quickly add your children and assign chores based on their age and abilities. Set up tasks like “Clean your room,” “Take out the trash,” or “Finish homework” in just a few taps.Daily To-Do Lists for Kids:Each child gets a personalized list of chores for the day, making it easy to see what needs to be done and check off tasks as they’re completed.Chore Notifications:Friendly reminders help kids stay on top of their chores and complete tasks on time.Track Allowance for Completed Chores:Set a value for each chore and let Family Chore Manager automatically track how much each child has earned. Parents can view payment records and manage allowance without the hassle.Build Responsibility with Clear Expectations:Help your children develop responsibility by giving them clear tasks, routines, and rewards for completing their chores.Why Families Choose Family Chore Manager:Simple for Parents and Kids:The app is easy to use, with a clean layout that makes chore management straightforward for the whole family.See What Needs Attention at a Glance:Quickly check which chores are completed, due, or overdue, so nothing falls through the cracks.Support Better Daily Routines:Consistent chores, reminders, and rewards help kids stay on track and build strong habits over time.Get Family Chore Manager today and make household chores easier to manage for the whole family.",,https://play.google.com/store/apps/details?id=com.kronickel.choreman.app&hl=en&gl=US,https://play-lh.googleusercontent.com/Ik5U7EMAQ54fnbguf5dzI5f2lOIbZ_TobWuaQyp_uF4_xoGQJCdiyVNQNGhhG8vcw82w-qHZbTnzpu7Cd9Vm=w240-h480-rw,1.6.7,2024-10-28,2026-05-08,0.254,2026-06-01,not_focus_adhd_productivity_competitor
play:com.skillfoxapps.qhabit,PlayStore,com.skillfoxapps.qhabit,qhabit-daily-habit-tracker_playstore,Qhabit: Daily habit tracker,Skillfox apps,Children,10000.0,4.1,247.0,1.49,27.99,$1.49 - $27.99 per item,"Qhabit: Your Personalized Habit Tracker for SuccessEmbark on a journey of self-improvement with Qhabit, your ultimate habit tracker companion. Uncover the power of visualization with captivating charts, diagrams, and tags that transform your progress into a compelling narrative.Organize Your Life, Achieve Goals, and Maintain RoutineQhabit seamlessly integrates into your daily rhythm, empowering you to cultivate positive habits and ditch unproductive ones. Whether you're aiming for fitness excellence, mastering mindfulness, or simply seeking a more structured lifestyle, Qhabit is your unwavering guide.Uncover Insights with Powerful AnalyticsDelve into the depths of your habits with Qhabit's robust analytics. Compare habits side-by-side, generate insightful performance reports, and uncover hidden patterns that will fuel your progress.Embrace a Night Owl-Friendly ApproachQhabit understands that not everyone adheres to a traditional 9-to-5 schedule. With its flexible start-of-day feature, Qhabit adapts to your unique rhythm, ensuring that your habit-tracking journey remains seamless and aligned with your preferences.Download Qhabit Today and Take Control of Your HabitsJoin the thousands of individuals who are transforming their lives with Qhabit. Download the app today and embark on a journey of self-discovery, growth, and unwavering success.Plus, with our Wear OS companion app, you can easily track your habits right from your wrist. Just glance at your watch to see your progress for the day. Our WearOS app also supports multiple tiles that you can add to your watch, so you can always see your progress at a glance.",https://qhabit.com,https://play.google.com/store/apps/details?id=com.skillfoxapps.qhabit&hl=en&gl=US,https://play-lh.googleusercontent.com/8aUqnvLUDv9xWgyju9WIxjffs9BnGqqAncAYWIo3gTdcDLHiCCrNv_h_nwt1TuguQgk=w240-h480-rw,Varies with device,2021-07-25,2025-09-28,1.0,2026-06-01,weak_scope_without_required_strong_signal
play:com.ofalvai.habittracker,PlayStore,com.ofalvai.habittracker,habit-builder_playstore,Habit Builder,Olivér Falvai,Kids,10000.0,4.3,448.0,,,,"Habit Builder is a simple, beautiful app that provides you with the right tools to keep track of your habits and understand your progress. The app is free, open source, and respects your privacy by storing everything on-device.Keep track of your habitsLog your habits every day with Habit Builder. Instantly see your progress over the past few days.Visualize your progressGet insights into your habits and spot patterns instantly. Habit Builder keeps track of your most successful habits, the most active day for each habit, and other useful statistics.CustomizationCustomize each habit with custom colors and notes. Choose the layout that fits your needs.Your dataYour data never leaves your device as Habit Builder stores everything locally. The app works without an internet connection and you never need to create an account or share your data.",,https://play.google.com/store/apps/details?id=com.ofalvai.habittracker&hl=en&gl=US,https://play-lh.googleusercontent.com/gvUWha_BWaq5HltmPlG2nVyZj6Qt9UO6HraXMfZqKHGaCgZ00Hr5Vmy18544U_sigA=w240-h480-rw,1.1.3,2022-12-24,2024-08-02,1.0,2026-06-01,weak_scope_without_required_strong_signal
play:com.surfcityapps.endprocrastination,PlayStore,com.surfcityapps.endprocrastination,end-procrastination-hypnosis_playstore,End Procrastination Hypnosis,Surf City Apps,Kids,100000.0,4.3,448.0,3.99,8.99,$3.99 - $8.99 per item,"◎ A single daily audio session that is effective* in just 1–3 weeks◎ Hypnosis audio carefully read by the soothing voice of a certified hypnotherapist◎ Peaceful background music and nature sounds to help you relax◎ Hypnotic Booster with binaural beats to induce your brainwave frequency into an optimal state for receiving hypnotic suggestions◎ Separate volume controls for Voice, Background, and Hypnotic Booster◎ Awaken at End feature can be disabled at bedtime for a relaxing, restful sleep◎ Repeat sessions or loop while you sleep◎ Continue listening to background sounds after the session endsTHE BEST APP TO END PROCRASTINATION AVAILABLEEnd Procrastination Hypnosis is free to try and effective* with the default settings. A one-time in-app purchase is required only if you wish to change the default settings. (Each of our free hypnosis apps includes its own in-app purchase; in-app purchases cannot be shared among separate apps.)INTERACT WITH USSurf City Apps offers a range of hypnosis apps to help you enjoy a healthier, happier, and more abundant life. Tell us how you use our apps to improve your life:Facebook.com/surfcityappsTwitter.com/SurfCityAppshttp://surfcityapps.comCONTACT SUPPORThttp://support.surfcityapps.comTERMS & CONDITIONShttp://surfcityapps.com/termsREFERENCEShttps://en.wikipedia.org/wiki/Hypnosishttps://en.wikipedia.org/wiki/Binaural_beats*DISCLAIMERResults not clinically proven. The content and services provided by this Application are for educational purposes only and are not intended to be a substitute for professional medical advice, diagnosis, or treatment. Never rely on information on this Application in place of seeking professional medical advice. Consult your doctor before using this Application if you suffer from a heart condition, mood disorder, epilepsy, or a psychiatric or neurological condition.",http://surfcityapps.com,https://play.google.com/store/apps/details?id=com.surfcityapps.endprocrastination&hl=en&gl=US,https://play-lh.googleusercontent.com/6la6jTg57jTX_DG9P-aud1r5lXWrBdT1xxaGVuAWgmIRFhytLkvRpzXS35W4ST3iy7I=w240-h480-rw,2.64,2013-12-23,2026-04-02,0.825,2026-06-01,not_focus_adhd_productivity_competitor
play:com.wayoflife.app,PlayStore,com.wayoflife.app,way-of-life-habit-tracker_playstore,Way of Life: habit tracker,Way of Life ApS,Kids,500000.0,3.6,1320.0,4.99,6.49,$4.99 - $6.49 per item,"FASTInvest less than a minute daily to track, identify, and change your habits with Way of Life.EFFICIENTChanging habits is hard work. Having the right tool is half the battle. Way of Life is that tool - a beautiful, intuitive habit tracker that motivates you to build a better, stronger, and healthier you!As you collect more and more information, you will be able to spot positive and negative trends in your lifestyle easily:• Am I exercising as much as I thought?• Eating less and less fast food?• Getting the fruits and vegetables I need?• Sleeping well?• Avoiding too much sugar?Or whatever is essential to you. There are no restrictions on what Way of Life can help you with when it comes to changing habits.FEATURE RICH• Powerful reminders with flexible scheduling and custom messages.• Charts - bar graphs with trend lines • Note-taking - quickly jot down a note• Unlimited items (*)• Backup to any Cloud storage provider that supports Android (*)• Archive completed goals• Updating takes less than a minute a day• Export data as CSV or JSON'Way of Life is the ultimate habit building app.' -- App AdviceVoted 'Best Motivation App of 2019' -- HealthlineFeatured on the Tim Ferris podcast with Kevin RoseWay of Life is recommended by Forbes, The New York Times, Marie Claire, HealthLine, The Guardian, Tech Cocktail, Business Insider, FastCompany, Entrepreneur, and Lifehacker.*) requires premium",https://wayoflifeapp.com,https://play.google.com/store/apps/details?id=com.wayoflife.app&hl=en&gl=US,https://play-lh.googleusercontent.com/99OZkOVUsQt-t7xZsXxIe2s-Uss4_AXaOFFW2zct7UgWA8SGxDAwGDpVFq783x8KdquK=w240-h480-rw,1.9,2016-12-01,2025-08-07,1.0,2026-06-01,weak_scope_without_required_strong_signal
play:org.isoron.uhabits,PlayStore,org.isoron.uhabits,loop-habit-tracker_playstore,Loop Habit Tracker,Álinson S Xavier,Kids,5000000.0,4.7,62400.0,,,,"Loop helps you create and maintain good habits, allowing you to achieve your long-term goals. Detailed charts and statistics show you how your habits improved over time. The app is completely ad-free, open source and it respects your privacy.Simple, beautiful and modern interfaceLoop has a minimalistic interface that is very easy to use and follows the material design guidelines.Habit scoreIn addition to showing your current streak, Loop has an advanced formula for calculating the strength of your habits. Every repetition makes your habit stronger, and every missed day makes it weaker. A few missed days after a long streak, however, will not completely destroy your entire progress, unlike other don't-break-the-chain apps.Detailed graphs and statisticsClearly see how your habits improved over time with detailed charts and statistics. Scroll back to see the complete history of your habits.Flexible schedulesSupports not only daily habits, but also habits with more complex schedules, such as 3 times every week; one time every other week; or every other day.RemindersCreate an individual reminder for each habit, at a chosen hour of the day. Easily check, dismiss or snooze your habit directly from the notification, without opening the app.WidgetsTrack your habits directly from your home screen, with beautiful and colorful widgets.Completely ad-free and open sourceThere are absolutely no advertisements, annoying notifications or intrusive permissions in this app, and there will never be. The complete source code is available under an open-source license (GPLv3).Works offline and respects your privacyLoop doesn't require an Internet connection or online account registration. Your confidential habit data never leaves your phone. Neither the developers nor any third-parties have access to it.Take your data with youIf you want to further analyze your data or move it to another service, Loop allows you to export it to spreadsheets (CSV) or to a database format (SQLite).",,https://play.google.com/store/apps/details?id=org.isoron.uhabits&hl=en&gl=US,https://play-lh.googleusercontent.com/gGHaWnV9n3EK0jpJ_yessWA1PF6mcL7Ys41mBPTCTXtusf13Yr2zVpVYAOI69ZX2Gjc=w240-h480-rw,2.3.1,2016-02-22,2025-09-15,1.0,2026-06-01,weak_scope_without_required_strong_signal
cws:bnoncjmpkkgnkgkebkgmmbphmebdbnje,ChromeWS,bnoncjmpkkgnkgkebkgmmbphmebdbnje,triumph-habit-tracker_chromews,Triumph - Habit tracker,TraderThis developer has identified itself as a trader per the definition from the European Union and committed to only offer products or services that comply with EU laws.,Extension,,0.0,,,,Free,"OverviewDaily habit tracker to log small wins, build streaks, and create positive feedback loops. Celebrate your progress.Stop focusing on what you didn't do. Start celebrating what you did. Triumph is a habit tracker designed around one powerful idea: logging your daily wins creates positive feedback loops that rewire your brain for success. Log 5 wins each day. Build streaks. Watch your momentum grow. It's that simple. 🏆 KEY FEATURES ✅ Daily Win Logging - Record exactly 5 accomplishments each day, big or small. This daily wins approach prevents decision fatigue while ensuring meaningful reflection. ✅ Streak Tracking - Visualize your consistency with current and longest streak displays. Nothing motivates like watching your habit streak grow. ✅ Progress Analytics - Review your win history and spot patterns in your behavior. See how your small wins compound over time. ✅",,https://chromewebstore.google.com/detail/bnoncjmpkkgnkgkebkgmmbphmebdbnje?hl=en,https://lh3.googleusercontent.com/6FsLbMGmHbKaS9-AgfQeSYebOJGlFj5RFF4wHVFOB95w4dxn9ZlEb9gugYEJp3ntaiioKmbN8S4beWFnhvo9nWAU8AI=s128-rj-sc0x00ffffff,"UpdatedDecember 30, 2025",,,1.0,2026-06-01,"below_popularity_thresholds,weak_scope_without_required_strong_signal"
cws:chjmonpkdbgeepflmgghhfcflejcglpp,ChromeWS,chjmonpkdbgeepflmgghhfcflejcglpp,habit-tracker_chromews,Habit Tracker,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Extension,,0.0,,,,Free,"OverviewA simple and beautiful way to track your habitsSet which 4 habits you want to track, and then simply click the rectangle representing the current day if you complete that habit.",,https://chromewebstore.google.com/detail/chjmonpkdbgeepflmgghhfcflejcglpp?hl=en,https://lh3.googleusercontent.com/paoC0jcelYDmHs9VGxvAvZFSlMv3Ok98a0LfDAex0XZeadtL_h2UPLOpYai7NvM7BWGkuIQD6XuatRiDxBoBlUbH5y8=s128-rj-sc0x00ffffff,"UpdatedJuly 17, 2022",,,0.943,2026-06-01,"below_popularity_thresholds,weak_scope_without_required_strong_signal"
cws:phibodiabnfldclfgkkafehjbadgeaad,ChromeWS,phibodiabnfldclfgkkafehjbadgeaad,habit-tracker-daily-progress_chromews,Habit Tracker - Daily Progress,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Extension,,0.0,,,,Free,"OverviewTrack habits, tasks, and events with Google Calendar sync. Build streaks and achieve your goals!It tracks the habits,tasks and events with calendar.Users can maintain streak and earn rewards.",,https://chromewebstore.google.com/detail/phibodiabnfldclfgkkafehjbadgeaad?hl=en,https://lh3.googleusercontent.com/gmSUV1Tbf5ibLTXVMmgUuTRxgn8qbOSIELfk_tZ0ZmXaOkk40o_tvAUHnwihoMDxVagXVcligdtaXi5Pem67Wv91hg=s128-rj-sc0x00ffffff,"UpdatedAugust 16, 2025",,,0.857,2026-06-01,"below_popularity_thresholds,weak_scope_without_required_strong_signal"
play:com.coachvikram.app,PlayStore,com.coachvikram.app,executive-presence_playstore,Executive Presence,By Coach Vikram,Kids,100.0,,,,,,"From Technical Contributor to Trusted Advisor. One Action at a Time.Most professionals are promoted for what they do.But to truly lead, you must be remembered for how you show up.The Executive Presence App helps you build likeability, trust, and credibility- one day at a time.Developed by Coach Vikram and powered by the proprietary Executive Presence Index (EPI) assessment, this app turns leadership insight into behavioural change in the fastest time.Whether you're a CXO, people leader, or emerging talent, the app helps you move from doing the work to owning the room.🎯 What You’ll Do Daily:- Receive nudges based on your leadership style: Focus, Warmth, and Power- Practice high-impact presence habits across 9 capabilities- Track progress with points, streaks, and leaderboards",https://coachvikram.com/,https://play.google.com/store/apps/details?id=com.coachvikram.app&hl=en&gl=US,https://play-lh.googleusercontent.com/5vPMbG-CPkrOjSzPLzzX-i2ylnRwCACSuPi8_5piGRdhUSvpGfHQJ9itpVcbOmiNAco=w240-h480-rw,3.0.2,2025-05-28,2026-05-27,0.237,2026-06-01,below_popularity_thresholds
play:com.digital.executivenotes,PlayStore,com.digital.executivenotes,executive-notes_playstore,Executive Notes,Digital Servicing,Kids,10.0,4.4,,,,,"Welcome to Executive Notes App, your ultimate companion in capturing, organizing, and managing your tasks effortlessly; your personal assistant. Elevate your productivity with our feature-rich app designed to empower your notetaking and task management needs.Key Features:Intuitive Notetaking: Seamlessly jot down your ideas, thoughts, and to-do lists with our user-friendly interface. Effortlessly capture the essence of your creativity.Efficient Task Management: Start creating and efficiently managing your tasks through the app. Stay on top of your commitments and never miss a deadline.Organize with Ease: Stay organized like never before. Take notes with ease and manage your tasks effectively to ensure nothing falls through the cracks.Powerful Reminder System: Set timely alerts for your notes and tasks, ensuring you stay on track with your commitments. Never miss a deadline or forget an important task again.Cross-Device Sync: Access your notes and tasks anytime, anywhere, with seamless synchronization across all your devices. Your ideas and tasks are always at your fingertips.Collaborate Effortlessly: Share your notes and tasks with friends, family, or colleagues and collaborate in real-time. Spark creativity, streamline actions, and achieve more together.Rich Media Support: Enhance your notes and tasks with images and audio clips. Executive Notes goes beyond text with our multimedia-friendly platform.Secure Your Ideas: Protect your thoughts and tasks with our robust security features, ensuring that your information stays confidential.Customizable Themes: Personalize your notetaking and task management experience. Find the perfect backdrop for your creativity and productivity.Smart Search: Effortlessly find what you need with our intelligent search functionality. Locate information instantly and stay organized.Continuous Updates: We are committed to enhancing your experience. Expect regular updates with new features and improvements to keep Executive Notes at the forefront of note-taking and task management innovation.Elevate your productivity, creativity, and organization with Executive Notes. Download now and unlock a world of limitless possibilities in notetaking and task management. Your ideas and tasks synchronized and secured – because inspiration can strike at any moment.",https://digitalservices.me/executivenotes/index.html,https://play.google.com/store/apps/details?id=com.digital.executivenotes&hl=en&gl=US,https://play-lh.googleusercontent.com/i5DAGvFKlT4MT6QJrJhQK7jP8VGSus0bdcD9nusgApSpZ04duVKZnB9TYK5-63BD7j4=w240-h480-rw,1.4.3,2023-10-04,2024-10-08,0.283,2026-06-01,below_popularity_thresholds
