app_key,app_type,app_type_label,feature,feature_label,source,routed_app_types,flag,confidence,evidence,llm_sub_code,llm_cognitive_primary,llm_cognitive_secondary,llm_cognitive_tertiary,uncertain,llm_uncertainty_note,core_cluster,customisation_blacklist,customisation_whitelist,customisation_other_control,llm_notes
cws:aacicogfahcdijddomfbninhjjbainjb,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,dsct;habit_apps;planners,1,0.9,"Tracks completed Pomodoros daily, weekly, monthly with stats tab and progress charts",Daily habit tracking,,,,0,,0,0,0,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,dsct;habit_apps;planners,0,0.9,"No support for routines, habit stacks, or structured daily workflows described",,,,,0,,0,0,0,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,habit_apps,Habit Apps,streaks,Streaks,Project extension,dsct;habit_apps;planners,1,0.85,Chart tracks consistency over last 7 days to keep users inspired,Consistency chain,,,,0,,0,0,0,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,dsct;habit_apps;planners,0,0.95,"No calendar views, scheduling, due dates, or events described",,,,,0,,0,0,0,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,planners,Planners,goal_planning,Goal Planning,Project extension,dsct;habit_apps;planners,0,0.95,"No goal setting, milestones, or progress toward goals described",,,,,0,,0,0,0,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,planners,Planners,notes_knowledge,Notes/Knowledge Management,Project extension,dsct;habit_apps;planners,0,0.95,"No notes, documents, or knowledge management features described",,,,,0,,0,0,0,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,planners,Planners,prioritisation,Prioritisation,Project extension,dsct;habit_apps;planners,0,0.95,No mention of ranking or prioritising tasks,,,,,0,,0,0,0,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,planners,Planners,project_planning,Project Planning,Project extension,dsct;habit_apps;planners,0,0.95,"No project boards, workflows, subtasks, or deadlines described",,,,,0,,0,0,0,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,planners,Planners,task_management,Task Management,Project extension,dsct;habit_apps;planners,0,0.95,"No mention of creating, organizing, or tracking tasks or to-do lists",,,,,0,,0,0,0,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,planners,Planners,time_blocking,Time Blocking,Project extension,dsct;habit_apps;planners,1,0.95,"Pomodoro timer breaks work into intervals (25 min work, breaks), allocates focus sessions",Pomodoro timer allocates blocks of focused work and breaks,,,,0,,0,0,0,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,dsct,1,0.9,Qustodio manages daily screen time allowance and protects devices by blocking access on linked devices.,Block access entirely,Prevent non-conscious habits,,,0,,1,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,dsct,0,0.5,"No explicit mention of user customization of block lists, schedules, or rules.",,,,,0,,0,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,dsct,0,0.5,No mention of emergency bypass or temporary unlock features.,,,,,0,,0,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,dsct,0,0.5,"No explicit goal setting, reminders, or task lists are described.",,,,,0,,0,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,dsct,0,0.5,No evidence of effortful override mechanisms such as passwords or delays before override.,,,,,0,,0,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,dsct,0,0.5,"No mention of points, badges, streaks, or other reward/punishment mechanisms.",,,,,0,,0,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,dsct,0,0.5,No explicit mention of scheduling or automatic recurring blocking periods.,,,,,0,,0,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,dsct,0,0.5,No clear usage tracking or visualization of usage data is mentioned in the description.,,,,,0,,0,0,0,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,habit_apps,Habit Apps,accountability,Accountability,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,habit_apps,Habit Apps,streaks,Streaks,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,planners,Planners,goal_planning,Goal Planning,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,planners,Planners,notes_knowledge,Notes/Knowledge Management,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,planners,Planners,prioritisation,Prioritisation,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,planners,Planners,project_planning,Project Planning,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,planners,Planners,task_management,Task Management,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aagckeangbhdegepjkmihamjggeflipg,planners,Planners,time_blocking,Time Blocking,Project extension,dsct,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,dsct;habit_apps;planners,1,0.95,"Blocks distracting websites, allows one-click website blocking, focus lock adds a 10-minute pause before bypassing blocks, removes distracting YouTube elements.",Block access entirely,Prevent non-conscious habits,,,0,,1,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,dsct;habit_apps;planners,1,0.95,"Users can select websites to block and create schedules; supports blocking up to 10 websites (free) or unlimited (pro), and unlimited focus schedules in pro version.",,Prevent non-conscious habits,,,0,,0,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,dsct;habit_apps;planners,0,0.9,"No mention of emergency bypass, pause, or temporary unlock features.",,,,,0,,0,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,dsct;habit_apps;planners,0,0.9,"No explicit goal setting, reminders of tasks/goals, or comparison of behaviour against goals described.",,,,,0,,0,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,dsct;habit_apps;planners,1,0.9,Focus Lock feature adds a 10-minute pause before bypassing blocks.,Add a time lag before override/settings change,Expected value of control: Delay,,,0,,0,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,dsct;habit_apps;planners,0,0.9,"No points, streaks, badges, penalties, or other reward/punishment mechanisms mentioned.",,,,,0,,0,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,dsct;habit_apps;planners,1,0.95,Allows setting specific times when sites are accessible; supports focus schedules including unlimited schedules in pro version.,Schedule blocking,Prevent non-conscious habits,,,0,,0,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,dsct;habit_apps;planners,0,0.9,"No mention of recording or visualising usage history, timers, or session progress.",,,,,0,,0,1,0,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,habit_apps,Habit Apps,accountability,Accountability,Project extension,dsct;habit_apps;planners,0,0.5,"No mention of social accountability, sharing, groups, or community support",,,,,1,No social or accountability features described,0,0,0,,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,dsct;habit_apps;planners,0,0.5,"No mention of habit completion history, progress charts, or habit insights",,,,,1,No analytics or reports on habits described,0,0,0,,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,dsct;habit_apps;planners,0,0.5,"No mention of reminders, notifications, nudges, or habit prompts",,,,,1,No explicit habit reminder features described,0,0,0,,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,dsct;habit_apps;planners,0,0.5,"No explicit mention of tracking repeated habits, daily behaviours, or habit completion status",,,,,1,App focuses on blocking distracting websites and scheduling blocks but does not track habit completion or consistency,0,0,0,,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,dsct;habit_apps;planners,0,0.5,"No mention of supporting routines, habit stacks, or structured daily workflows",,,,,1,Focus schedules exist but do not clearly support routine building as defined,0,0,0,,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,habit_apps,Habit Apps,streaks,Streaks,Project extension,dsct;habit_apps;planners,0,0.5,"No mention of streak counts, consecutive completion records, or habit chains",,,,,1,No evidence of streak features,0,0,0,,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,dsct;habit_apps;planners,0,0.95,"No evidence of calendar views, due dates, events, or agendas; only focus schedules for blocking websites",,,,,0,,0,0,0,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,planners,Planners,goal_planning,Goal Planning,Project extension,dsct;habit_apps;planners,0,0.95,"No mention of goal setting, milestones, or progress tracking",,,,,0,,0,0,0,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,planners,Planners,notes_knowledge,Notes/Knowledge Management,Project extension,dsct;habit_apps;planners,0,0.95,"No mention of notes, documents, or knowledge management",,,,,0,,0,0,0,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,planners,Planners,prioritisation,Prioritisation,Project extension,dsct;habit_apps;planners,0,0.95,No evidence of ranking or prioritising tasks,,,,,0,,0,0,0,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,planners,Planners,project_planning,Project Planning,Project extension,dsct;habit_apps;planners,0,0.95,"No evidence of project boards, workflows, subtasks, or deadlines",,,,,0,,0,0,0,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,planners,Planners,task_management,Task Management,Project extension,dsct;habit_apps;planners,0,0.95,"No mention of creating, organizing, or tracking tasks or to-do lists",,,,,0,,0,0,0,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,planners,Planners,time_blocking,Time Blocking,Project extension,dsct;habit_apps;planners,1,0.95,Focus Schedules: Set specific times when sites are accessible; blocking websites during planned times,Focus schedules for blocking websites,,,,0,,0,0,0,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,dsct;planners,0,0.8,"No evidence that the tool blocks or restricts access to apps, websites, or device functions; it only provides a timer and reminders.",,,,,0,,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,dsct;planners,0,0.9,"No mention of user customization of block lists, allowed apps/sites, schedules, or categories.",,,,,0,,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,dsct;planners,0,0.9,"No mention of emergency bypass, pause, or temporary unlock features.",,,,,0,,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,dsct;planners,0,0.8,"No explicit mention of goal setting, task reminders, or comparison of behaviour against goals; only general focus and study motivation language.",,,,,0,,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,dsct;planners,0,0.9,"No evidence of effortful tasks, passwords, delays, or costs to override blocks or restrictions.",,,,,0,,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,dsct;planners,0,0.9,"No evidence of points, streaks, badges, penalties, or other reward/punishment mechanisms.",,,,,0,,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,dsct;planners,0,0.85,No evidence of scheduling or automatic recurring blocking or focus sessions; only customizable timers are mentioned without scheduling.,,,,,0,,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,dsct;planners,0,0.7,"No mention of recording, visualising, or displaying usage or session data; only a timer is mentioned without explicit tracking or history.",,,,,1,The description mentions customizable timers and reminders but does not clearly state that usage or session data is recorded or visualised.,0,0,0,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,habit_apps,Habit Apps,accountability,Accountability,Project extension,dsct;planners,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,dsct;planners,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,dsct;planners,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,dsct;planners,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,dsct;planners,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,habit_apps,Habit Apps,streaks,Streaks,Project extension,dsct;planners,0,0.0,Feature not classified because this app was not routed to that app area.,,,,,0,,0,0,0,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,dsct;planners,0,0.9,"No mention of calendar views, scheduling, due dates, or events",,,,,0,,0,0,0,,"The app focuses on time management via timers for study focus but lacks evidence of task, calendar, goal, prioritisation, project, or notes features."
