app_key,routed_app_types,app_type,app_type_label,feature,feature_label,source,flag,confidence,core_cluster,uncertain,llm_sub_code,llm_cognitive_primary,llm_cognitive_secondary,llm_cognitive_tertiary,evidence,llm_uncertainty_note,llm_notes
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,0,0.5,0,0,,,,,"No explicit goal setting, reminders, or task lists are described.",,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,0,0.5,0,0,,,,,No evidence of effortful override mechanisms such as passwords or delays before override.,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,0,0.5,0,0,,,,,"No mention of points, badges, streaks, or other reward/punishment mechanisms.",,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,0,0.5,0,0,,,,,No explicit mention of scheduling or automatic recurring blocking periods.,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,0,0.5,0,0,,,,,No clear usage tracking or visualization of usage data is mentioned in the description.,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,habit_apps,Habit Apps,accountability,Accountability,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,habit_apps,Habit Apps,streaks,Streaks,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,planners,Planners,goal_planning,Goal Planning,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,planners,Planners,notes_knowledge,Notes/Knowledge Management,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,planners,Planners,prioritisation,Prioritisation,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,planners,Planners,project_planning,Project Planning,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,planners,Planners,task_management,Task Management,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,planners,Planners,time_blocking,Time Blocking,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,1,0.95,1,0,Block access entirely,Prevent non-conscious habits,,,"Blocks distracting websites, allows one-click website blocking, focus lock adds a 10-minute pause before bypassing blocks, removes distracting YouTube elements.",,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,1,0.95,0,0,,Prevent non-conscious habits,,,"Users can select websites to block and create schedules; supports blocking up to 10 websites (free) or unlimited (pro), and unlimited focus schedules in pro version.",,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,0,0.9,0,0,,,,,"No mention of emergency bypass, pause, or temporary unlock features.",,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,0,0.9,0,0,,,,,"No explicit goal setting, reminders of tasks/goals, or comparison of behaviour against goals described.",,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,1,0.9,0,0,Add a time lag before override/settings change,Expected value of control: Delay,,,Focus Lock feature adds a 10-minute pause before bypassing blocks.,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,0,0.9,0,0,,,,,"No points, streaks, badges, penalties, or other reward/punishment mechanisms mentioned.",,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,1,0.95,0,0,Schedule blocking,Prevent non-conscious habits,,,Allows setting specific times when sites are accessible; supports focus schedules including unlimited schedules in pro version.,,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,0,0.9,0,0,,,,,"No mention of recording or visualising usage history, timers, or session progress.",,"The app primarily blocks distracting websites and allows scheduling of blocking times. It includes override friction via a delay before bypassing blocks. It supports custom rules via user-selected websites and schedules. No evidence of self-tracking, goal advancement, reward/punishment, or emergency access features was found."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,habit_apps,Habit Apps,accountability,Accountability,Project extension,0,0.5,0,1,,,,,"No mention of social accountability, sharing, groups, or community support",No social or accountability features described,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,0,0.5,0,1,,,,,"No mention of habit completion history, progress charts, or habit insights",No analytics or reports on habits described,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,0,0.5,0,1,,,,,"No mention of reminders, notifications, nudges, or habit prompts",No explicit habit reminder features described,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,0,0.5,0,1,,,,,"No explicit mention of tracking repeated habits, daily behaviours, or habit completion status",App focuses on blocking distracting websites and scheduling blocks but does not track habit completion or consistency,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,0,0.5,0,1,,,,,"No mention of supporting routines, habit stacks, or structured daily workflows",Focus schedules exist but do not clearly support routine building as defined,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,habit_apps,Habit Apps,streaks,Streaks,Project extension,0,0.5,0,1,,,,,"No mention of streak counts, consecutive completion records, or habit chains",No evidence of streak features,"The app is primarily a website blocker with scheduling features to reduce distractions. It does not explicitly track habits, provide streaks, build routines, send habit reminders, offer habit analytics, or support accountability as defined in the approved taxonomy."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,0,0.95,0,0,,,,,"No evidence of calendar views, due dates, events, or agendas; only focus schedules for blocking websites",,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,planners,Planners,goal_planning,Goal Planning,Project extension,0,0.95,0,0,,,,,"No mention of goal setting, milestones, or progress tracking",,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,planners,Planners,notes_knowledge,Notes/Knowledge Management,Project extension,0,0.95,0,0,,,,,"No mention of notes, documents, or knowledge management",,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,planners,Planners,prioritisation,Prioritisation,Project extension,0,0.95,0,0,,,,,No evidence of ranking or prioritising tasks,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,planners,Planners,project_planning,Project Planning,Project extension,0,0.95,0,0,,,,,"No evidence of project boards, workflows, subtasks, or deadlines",,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,planners,Planners,task_management,Task Management,Project extension,0,0.95,0,0,,,,,"No mention of creating, organizing, or tracking tasks or to-do lists",,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,planners,Planners,time_blocking,Time Blocking,Project extension,1,0.95,0,0,Focus schedules for blocking websites,,,,Focus Schedules: Set specific times when sites are accessible; blocking websites during planned times,,"The app is a website blocker with focus schedules but does not provide task, calendar, goal, project, prioritisation, or notes features."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,0,0.8,0,0,,,,,"No evidence that the tool blocks or restricts access to apps, websites, or device functions; it only provides a timer and reminders.",,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,0,0.9,0,0,,,,,"No mention of user customization of block lists, allowed apps/sites, schedules, or categories.",,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,0,0.9,0,0,,,,,"No mention of emergency bypass, pause, or temporary unlock features.",,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,0,0.8,0,0,,,,,"No explicit mention of goal setting, task reminders, or comparison of behaviour against goals; only general focus and study motivation language.",,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,0,0.9,0,0,,,,,"No evidence of effortful tasks, passwords, delays, or costs to override blocks or restrictions.",,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,0,0.9,0,0,,,,,"No evidence of points, streaks, badges, penalties, or other reward/punishment mechanisms.",,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,0,0.85,0,0,,,,,No evidence of scheduling or automatic recurring blocking or focus sessions; only customizable timers are mentioned without scheduling.,,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,0,0.7,0,1,,,,,"No mention of recording, visualising, or displaying usage or session data; only a timer is mentioned without explicit tracking or history.",The description mentions customizable timers and reminders but does not clearly state that usage or session data is recorded or visualised.,"The tool provides a customizable timer and reminders to help focus but does not block access, track usage, set explicit goals, provide rewards, or allow scheduling or custom rules. Evidence is insufficient to mark any core feature cluster as true."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,habit_apps,Habit Apps,accountability,Accountability,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,habit_apps,Habit Apps,streaks,Streaks,Project extension,0,0.0,0,0,,,,,Feature not classified because this app was not routed to that app area.,,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,0,0.9,0,0,,,,,"No mention of calendar views, scheduling, due dates, or events",,"The app focuses on time management via timers for study focus but lacks evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,planners,Planners,goal_planning,Goal Planning,Project extension,0,0.9,0,0,,,,,"No mention of goal setting, milestones, or progress tracking",,"The app focuses on time management via timers for study focus but lacks evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,planners,Planners,notes_knowledge,Notes/Knowledge Management,Project extension,0,0.9,0,0,,,,,"No mention of notes, documents, or knowledge management",,"The app focuses on time management via timers for study focus but lacks evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,planners,Planners,prioritisation,Prioritisation,Project extension,0,0.9,0,0,,,,,No mention of ranking or prioritising tasks,,"The app focuses on time management via timers for study focus but lacks evidence of task, calendar, goal, prioritisation, project, or notes features."
