app_key,routed_app_types,customisation_blacklist,customisation_whitelist,customisation_other_control
cws:jncfngnkpganmjmdgneaochohoejalin,dsct;habit_apps,0,0,
cws:jpafaidkicnfcohbcfegbokibbghpnee,dsct;planners,1,0,
cws:jplackcnmigbganpfbkghkinkbhpgnpg,dsct;habit_apps,0,0,
cws:kgbhcpefflhkcfjphgmjncmhdgegddaa,dsct,0,1,
cws:kgehdpikfeppnmjeoklagcpmjhbdhokl,dsct,0,0,
cws:kglcjphcooleepabaanldpogbgfiioio,habit_apps;planners,0,0,
cws:kjacjjdnoddnpbbcjilcajfhhbdhkpgk,dsct,0,0,
cws:kmknalpaghkffobnpnepdlggelbpgifp,dsct,0,0,
cws:kniediipngcpmbmpeacaoinhoeipfina,dsct;planners,1,0,
cws:knoibfcfmbijcbemjoiajedddjcekcfh,dsct;planners,1,0,
cws:kobdkbiaocipojejmmfpanehieloahpd,dsct;habit_apps;planners,1,0,
cws:lbajmocmhedhaaiiammglajpagbdaeeh,dsct;planners,0,0,
cws:lebiggkccaodkkmjeimmbogdedcpnmfb,dsct,1,1,
cws:lfbpllmokmhinnopfchemobgglipfini,dsct;planners,1,0,
cws:lkicfohpijhcaahdmianhgjglifhlmge,dsct;planners,0,0,
cws:llogngooedgefajjngomcpbjejcehiei,dsct;planners,0,0,
cws:lmhigafnplnkcajndfikkgmbmnlhpomm,dsct,0,0,
cws:lmkabfnhejcjipkccmgphkhmakokeadk,dsct,0,0,
cws:mfokmjkehphfjpglcpfgdfohpjmpdikb,dsct,0,0,
cws:mjlpmgalhhdeeabfncllajdlkmgbppnk,dsct,0,0,
cws:mnipihpddbmlpcklhpfamejbeldiclkc,habit_apps,0,0,
cws:nanjaegameeoomamnliimipmmfabdngd,dsct;planners,0,0,
cws:ncaaipdfhdijmfdfmeoagmogddhkfdec,dsct,1,0,
cws:ngboiiifeoioghodfglighnahefnjbib,dsct;habit_apps;planners,0,0,Task-based dynamic blocking instead of static lists
cws:ngceodoilcgpmkijopinlkmohnfifjfb,dsct;planners,0,0,
cws:ngdnagmkbllpeiihbiojaeiopffnknna,dsct;habit_apps,0,0,
cws:nhoiajdbcfmpddgakbhjljacldalbfdo,dsct;habit_apps;planners,1,0,
cws:niobhkibappdoakflmihhobagcdfimhi,dsct;planners,0,0,
cws:njboofjpggbholgpjkdllgnancfangoo,dsct;planners,0,0,
cws:nncbanjglhbgeilnlmoeemmbmbigmabe,dsct;planners,0,0,
cws:nognbljbdjgcnimgimlpaginadeiiefe,planners,0,0,
cws:oaloflofefcednelnfdbehkgccnmbnda,dsct;habit_apps,1,0,
cws:ocaajdaaekpmopddjnobakkpkemeggmk,planners,0,0,
cws:ochfcccdpicgmcbnlppcpladnbifhmdm,dsct;habit_apps,0,0,
cws:odhelkeplfnhfobhdhjjaaebndmfomjm,dsct;habit_apps;planners,0,0,
cws:odjmobnhfambobinhahdilkodkiapjji,dsct;planners,0,0,
cws:odlchholdefemjnkakoejacenfmkmkgi,dsct;habit_apps,1,0,
cws:ofmanejijbcohgebmdfacglmhemiifca,dsct,1,0,
cws:ogjmohkdfhbogmokhbgphnmkmiilfkce,dsct;planners,0,0,
cws:pecaajdaecdmikcgfdgldcofdebhfbgo,dsct;habit_apps;planners,1,0,
cws:pfbgmmjloigajfgnfmgmdbafaedpmlml,dsct;planners,0,0,
cws:pmidogkmlinflaheifgepebnajobhkoi,dsct,0,0,
ios:id1044132525,dsct;habit_apps;planners,0,0,
ios:id1077776989,dsct;planners,0,0,
ios:id1083376166,dsct;planners,0,0,
ios:id1095742214,dsct,0,0,
ios:id1110684238,dsct,0,0,
ios:id1117766356,dsct;habit_apps;planners,0,0,
ios:id1118406319,dsct,0,0,
ios:id1207505588,dsct,0,0,
ios:id1220720718,dsct;planners,0,0,
ios:id1224121850,dsct;habit_apps,0,0,
ios:id1239133490,dsct,0,0,
ios:id1239520314,dsct;planners,0,0,
ios:id1241839696,habit_apps,0,0,
ios:id1265128036,dsct;planners,0,0,
ios:id1308275296,dsct,0,0,
ios:id1312926037,dsct;habit_apps;planners,0,0,
ios:id1326310617,dsct,0,0,
ios:id1346247457,dsct;planners,0,0,
ios:id1361356590,dsct,0,0,
ios:id1367871279,dsct;planners,0,0,"Users can customize focus session length and motivational phrases, but no evidence of app/site blacklists or whitelists."
ios:id1400641344,dsct;habit_apps;planners,0,0,
ios:id1423210932,dsct;planners,0,0,
ios:id1423245975,dsct;planners,0,0,
ios:id1435127190,dsct;habit_apps;planners,0,0,User can customize study schedules and goals
ios:id1436994560,dsct;planners,0,0,
ios:id1438388363,dsct;habit_apps;planners,0,0,
ios:id1451398751,dsct;planners,0,0,
ios:id1458639178,dsct;planners,0,0,
ios:id1471458198,dsct;planners,0,0,
ios:id1474170096,habit_apps;planners,0,0,
ios:id1478345385,dsct,0,0,customizable Study Tracker
ios:id1478757472,dsct;planners,1,0,
ios:id1480220328,dsct;habit_apps;planners,0,0,
ios:id1488575394,dsct;planners,0,0,
ios:id1493474157,dsct,0,0,
ios:id1494966346,dsct;habit_apps;planners,1,1,
ios:id1496929203,dsct;planners,0,0,
ios:id1499198946,dsct;habit_apps;planners,0,0,"custom notifications, recurring tasks, routines"
ios:id1504771089,dsct;habit_apps;planners,0,0,
ios:id1521432881,dsct;habit_apps;planners,1,0,Users can select specific apps and websites to block and mute specific Slack teams.
ios:id1528322796,dsct;planners,0,1,"Customizable Pomodoro cycles, breaks, and focus tags"
ios:id1541027222,dsct;habit_apps,1,0,
ios:id1542448354,dsct;habit_apps;planners,0,0,"Customizable focus plans, habit cycles, and to-do list frequencies"
ios:id1543547997,dsct;planners,0,0,
ios:id1544318075,dsct;planners,0,0,
ios:id1547137474,dsct;habit_apps;planners,0,0,
ios:id1548846593,dsct;habit_apps,0,0,
ios:id1552913719,dsct;planners,0,0,
ios:id1559730367,dsct;planners,0,0,
ios:id1569534844,dsct,0,0,
ios:id1570156834,dsct;habit_apps,0,0,
ios:id1571604757,dsct,0,0,
ios:id1571638750,dsct;planners,1,0,
ios:id1577836684,planners,0,0,
ios:id1581256145,dsct,0,0,
ios:id1598883284,dsct;habit_apps;planners,0,0,
ios:id1603024803,dsct;habit_apps;planners,1,0,
ios:id1621897751,dsct;planners,0,0,
ios:id1627691759,dsct;habit_apps;planners,0,1,
ios:id1631132311,dsct;planners,1,0,
ios:id1631305261,dsct;habit_apps,0,0,
ios:id1659162950,dsct;habit_apps;planners,0,0,customizable block types and schedules
ios:id1663556775,dsct;habit_apps;planners,1,0,
ios:id1663997320,dsct;planners,1,0,
ios:id1667838757,dsct;planners,0,0,
ios:id1668064760,dsct;habit_apps;planners,1,0,
ios:id1670958524,dsct;habit_apps;planners,0,0,
ios:id1672653674,dsct;habit_apps,0,0,
ios:id337472899,habit_apps,0,0,
ios:id641433148,dsct,0,0,
ios:id6444948863,dsct;planners,0,0,
ios:id6448771858,dsct;habit_apps,0,0,
ios:id6449219142,dsct;planners,1,0,
ios:id6449302440,dsct;habit_apps;planners,0,0,
ios:id6450302677,dsct;habit_apps;planners,0,0,User can create custom nudges and select tasks to focus on
ios:id6450726111,dsct;habit_apps;planners,0,0,
ios:id6451270257,dsct;habit_apps,0,0,"User can customize Pomodoro session lengths and templates, and block apps/websites"
ios:id6452190950,dsct;habit_apps,0,0,
ios:id6453023919,dsct;habit_apps,0,0,
ios:id6469763335,dsct,0,0,
ios:id6477136445,dsct;habit_apps;planners,1,0,
ios:id6478087947,dsct,0,0,
ios:id6480119395,dsct;habit_apps;planners,1,0,
ios:id6480333786,dsct,0,0,
ios:id6480464509,dsct;planners,0,0,
ios:id6497405570,dsct;planners,0,0,
ios:id6499074349,dsct;planners,0,0,
ios:id6554001622,dsct;habit_apps,0,0,
ios:id6605927206,dsct;planners,0,0,
ios:id6636516894,dsct;habit_apps,0,0,
ios:id6642672538,dsct;habit_apps;planners,1,0,
ios:id6648771147,dsct;habit_apps;planners,0,0,"Users can select focus types and set custom reminders, indicating some control over targeted focus categories."
ios:id6670142175,dsct,0,0,
ios:id6670217657,dsct,0,0,
ios:id6702013134,dsct;habit_apps,0,0,
ios:id6727013499,dsct;habit_apps,0,0,
ios:id6736673615,dsct;habit_apps,1,0,Adjustable difficulty levels for restrictions
ios:id6737131495,dsct;habit_apps;planners,1,0,
ios:id6737629792,dsct;planners,0,0,
ios:id6737814141,dsct;habit_apps;planners,0,0,
ios:id6737836744,dsct;habit_apps;planners,1,0,
ios:id6738607046,dsct;habit_apps;planners,0,0,
ios:id6739162439,dsct;habit_apps;planners,0,0,
ios:id6739214387,dsct;habit_apps;planners,1,0,
ios:id6739705407,dsct;planners,0,0,
ios:id6740179334,dsct;planners,0,0,
ios:id6740248579,dsct;habit_apps,0,0,
ios:id6742068060,dsct;habit_apps;planners,0,0,
ios:id6742079522,dsct,0,1,
ios:id6742278016,dsct;planners,0,0,
ios:id6742693841,dsct;habit_apps;planners,0,0,
ios:id6744065868,dsct;habit_apps;planners,0,0,
ios:id6744338972,dsct;planners,1,0,
ios:id6744464319,dsct;habit_apps;planners,0,0,"Custom work intervals, projects, task lists, and categories"
ios:id6745537010,dsct;planners,0,0,
ios:id6745751608,dsct;habit_apps;planners,1,0,
ios:id6746742596,dsct;habit_apps;planners,1,0,Travel mode automatic unblock when away from home
ios:id6746946799,dsct;habit_apps;planners,0,0,
ios:id6747596495,dsct;planners,0,0,
ios:id6747712365,dsct;planners,1,0,
ios:id6747729586,dsct,1,0,
ios:id6747844509,dsct;habit_apps;planners,0,0,Custom task categories and custom focus/break intervals
ios:id6747854926,dsct,0,0,
ios:id6748028221,dsct;planners,0,0,
ios:id6748090198,dsct;planners,0,0,
ios:id6748564027,dsct;habit_apps;planners,0,0,
ios:id6751436315,dsct;habit_apps,0,0,
ios:id6752571938,dsct;habit_apps,0,0,
ios:id6752926119,dsct;habit_apps;planners,0,0,
ios:id6753786017,dsct;habit_apps,0,0,
ios:id6754040756,dsct,1,0,
ios:id6754052699,dsct;habit_apps,0,0,Custom focus types and quick presets indicate some custom control over focus sessions.
ios:id6754189283,dsct;habit_apps,0,0,
ios:id6754192497,dsct;habit_apps,1,0,
ios:id6754469745,dsct;habit_apps,0,0,
ios:id6754793448,dsct;planners,0,0,
ios:id6755035635,dsct,0,0,
ios:id6755039509,dsct;habit_apps,0,0,Focus Tags and personalization of Avo skins and room themes indicate some custom control over focus targets.
ios:id6755083524,dsct;habit_apps;planners,0,0,
ios:id6755708778,dsct;habit_apps,0,0,
ios:id6755790741,dsct;habit_apps;planners,0,0,
ios:id6756179301,dsct;habit_apps,0,0,
ios:id6756433110,dsct;habit_apps;planners,1,0,
ios:id6756443234,dsct,0,0,
ios:id6756668632,dsct;habit_apps,0,0,
ios:id6757204592,dsct;planners,1,1,
ios:id6758042278,dsct;habit_apps;planners,1,0,custom modes and tailored settings for routines
ios:id6758457625,dsct;planners,0,0,
ios:id6758460973,dsct;habit_apps,0,0,custom session flows and focus blocking
ios:id6758624193,dsct;habit_apps;planners,0,0,
ios:id6758786811,dsct;planners,1,0,
ios:id6759063344,dsct;habit_apps;planners,0,0,
ios:id6759089977,dsct;habit_apps;planners,0,0,
ios:id6759154762,dsct;habit_apps;planners,1,0,
ios:id6759213973,dsct;habit_apps,0,0,
ios:id6759234412,dsct;habit_apps;planners,0,0,
ios:id6759509390,dsct;habit_apps;planners,0,0,
ios:id6759646986,dsct;planners,0,0,
ios:id6759924022,dsct;habit_apps;planners,0,0,
ios:id6760048027,dsct;planners,0,0,
ios:id6760271163,dsct;habit_apps;planners,1,0,
ios:id6760372061,dsct;habit_apps;planners,0,0,Flexible routines and daily focus hours imply some custom control over blocking targets and times
ios:id6761012725,dsct;habit_apps;planners,1,0,
ios:id6761393046,dsct;habit_apps;planners,0,0,
ios:id6761764732,dsct;habit_apps;planners,0,0,
ios:id6762177137,dsct,1,0,
ios:id6762443613,dsct;planners,0,0,
ios:id6763792435,dsct;habit_apps;planners,0,0,Custom Focus Rhythm for session and break durations
ios:id6764748112,dsct,0,0,
ios:id6766637781,dsct;habit_apps;planners,0,0,
ios:id6767048994,dsct;habit_apps;planners,0,0,
ios:id733300214,dsct;habit_apps;planners,0,0,
ios:id925437228,dsct,0,0,
ios:id941222646,dsct,0,0,
ios:id953426154,dsct;habit_apps;planners,0,0,
ios:id964890124,dsct;habit_apps,0,0,
ios:id966057213,dsct;habit_apps;planners,0,0,
ios:id966415847,dsct;planners,0,0,
ios:id973130201,dsct;habit_apps;planners,0,0,
ios:id975017240,dsct;habit_apps;planners,0,0,
ios:id976335336,dsct;planners,0,0,
ios:id981379631,planners,0,0,
play:adhd.test.planner.organizer.kids.adults.cbt.behavior.therapy.treatment.journaling.mental.health,dsct;habit_apps;planners,0,0,Custom routines and symptom tracking
play:ai.forty4pixels.sleep,dsct;planners,0,0,
play:app.TimeFinder.TimeFinder,dsct;habit_apps;planners,0,0,"Custom intervals, color palettes, schedule templates, and task scheduling"
play:app.avocation.avocation,habit_apps;planners,0,0,
play:app.blissful.mood.tracker.journal.selfcare,habit_apps,0,0,
play:app.dailychecklist,habit_apps;planners,0,0,
play:app.daryl.ai,dsct;habit_apps;planners,0,0,
play:app.kiteki,dsct;habit_apps;planners,0,0,Custom routines with flexible steps and durations
play:app.littleplanner,habit_apps;planners,0,0,
play:app.octopoos.coach,dsct;habit_apps;planners,0,0,
play:app.soundmachine,habit_apps,0,0,
play:app.stacked.routines.habits.stacking.productivity.goals,dsct;habit_apps;planners,0,0,
play:app.univi.prod,dsct;habit_apps;planners,0,0,
play:app.vinztech.hush,dsct;habit_apps,0,0,
play:app.vinztech.tickit,dsct;habit_apps;planners,0,0,
play:at.cwiesner.android.visualtimer,dsct;planners,0,0,
play:binaural.studymusic.brainwave.focusmusic.binauralbeats,planners,0,0,
play:blueprint.project.management.time.tracker,dsct;habit_apps;planners,0,0,
play:bz.power.morning.affirmations,habit_apps,0,0,
play:cc.forestapp,dsct;habit_apps,0,1,
play:co.bodyliteracy.readyourbody,planners,0,0,
play:co.intellect.app,habit_apps;planners,0,0,
play:co.myfocuspal.app,dsct;habit_apps;planners,0,0,
play:co.thefab.tm,dsct;habit_apps;planners,0,0,
play:co.thefabulous.app,habit_apps;planners,0,0,
play:co.thomasmenzel.proddy,dsct;habit_apps;planners,0,0,
play:com.AJEducatorsDeepWork,dsct;habit_apps;planners,0,0,
play:com.AT.PomodoroTimer,dsct;planners,0,0,
play:com.GidSchwifty.focus_dojo,dsct;habit_apps;planners,0,0,
play:com.actiondash.playstore,dsct;habit_apps;planners,1,0,
play:com.actureunlock,dsct;habit_apps;planners,0,0,custom nudges and scheduling
play:com.adhd.focus.hz.adhd,dsct,0,0,
play:com.adhd.planner.taches.tasks.routine.easy,dsct;habit_apps;planners,0,0,
play:com.adrienblc.habitstracker,habit_apps;planners,0,0,
play:com.ai.screentime.control.regainapp,dsct;habit_apps,0,1,
play:com.akashramaswamy.done,dsct;planners,0,0,
play:com.alphanexs.studix,dsct;habit_apps;planners,0,0,
play:com.ansu.littlewins,habit_apps;planners,0,0,
play:com.anyplanner.app,habit_apps;planners,0,0,
play:com.app.floatingapptimer.com,dsct;habit_apps,1,0,
play:com.app.habitamer,dsct;habit_apps;planners,0,0,custom timer templates and multiple simultaneous timers
play:com.appsweat.pomodoro_app,dsct;habit_apps;planners,0,0,task lists and session length customization
play:com.ariv.adoro,dsct;habit_apps;planners,0,0,"Users can pick tags to categorize sessions and filter tracked time, which is a form of custom control over what is targeted."
play:com.ataraxia_apps.mindfocus,dsct;planners,0,0,
play:com.bhanu.limitapptime,dsct;habit_apps,1,0,
play:com.bis.studywithme.pomodoro,dsct;habit_apps;planners,0,0,
play:com.blu.rabito,habit_apps;planners,0,0,
play:com.boostedproductivity.app,dsct;habit_apps;planners,0,0,
play:com.bosla.app,habit_apps;planners,0,0,
play:com.brainbliss.intention,dsct;habit_apps,0,0,
play:com.brainfm.app,dsct,0,0,
play:com.bsktech.AU,dsct;habit_apps;planners,1,0,
play:com.bytes.habittracker,habit_apps,0,0,
play:com.calm.android,habit_apps;planners,0,0,
play:com.calmplanner.calm_planner,dsct;habit_apps;planners,0,0,
play:com.capitalx.blissfully,habit_apps;planners,0,0,
play:com.cartplayer.focustimer,dsct;planners,0,0,
play:com.cetinkaya.time_balance,dsct;habit_apps;planners,0,0,
play:com.chillnstudy.pomodoro,dsct;planners,0,0,
play:com.chorefocus.app,habit_apps;planners,0,0,
play:com.clock.countdown.alarm.timer.fliqlo,dsct,0,0,
play:com.codespaceapps.routineplanner,habit_apps;planners,0,0,
play:com.codiceapps.dailyhabits,dsct;habit_apps;planners,0,0,custom habit creation and scheduling
play:com.daarbit.nodistractions,dsct;habit_apps;planners,0,0,
play:com.dailygoals.habitstracker,habit_apps;planners,0,0,
play:com.dailymistika.healingsounds,planners,0,0,
play:com.daybloc.app,dsct;habit_apps;planners,0,0,custom daily routines and time blocks
play:com.designworld.todolistpro,dsct;habit_apps;planners,0,0,
play:com.detoxify,dsct;habit_apps,1,0,productive ratio to control time on productive vs non-productive apps
play:com.devyulstudio.tbox,dsct;habit_apps;planners,0,0,
play:com.digitalchemy.timerplus,habit_apps;planners,0,0,
play:com.donutdog,dsct;habit_apps;planners,0,0,"Users can tag sessions with custom labels and set session lengths, indicating some custom control over focus rules."
play:com.dopaminebarrier.app,dsct;habit_apps,1,0,
play:com.edgeeffectmedia.studytimer,dsct;habit_apps;planners,0,0,customizable study timers and AI-generated study plans
play:com.elevatelabs.geonosis,dsct;habit_apps,0,0,
play:com.emiazmel.noize,dsct,0,0,
play:com.enfpdev.pomocat,dsct;planners,0,0,
play:com.everkind.app,habit_apps,0,0,
play:com.evolutus212.dotty,dsct;habit_apps;planners,0,0,
play:com.exceptionalapps.study_beats,dsct;habit_apps;planners,0,0,
play:com.extendztech.quit,habit_apps,0,0,
play:com.extendztech.streaks,dsct;habit_apps;planners,0,0,Users customize which habits to track and their frequency.
play:com.flaunt.pomodoro.timer,dsct;habit_apps,0,0,Custom focus and break cycles
play:com.flourish.app,dsct;habit_apps;planners,0,0,
play:com.flowstack,dsct;habit_apps;planners,0,0,
play:com.fluidfocusltd.fluidfocus,dsct;habit_apps;planners,1,0,
play:com.flyrapps.todolist,planners,0,0,
play:com.focus.ekagra,dsct;habit_apps,1,0,"Custom blocking by time, day, and focus sessions"
play:com.focus.fliptimer,dsct;habit_apps;planners,1,0,Selective app and website blocking including short-form content blocking
play:com.focus.focusflight,dsct;habit_apps;planners,0,0,
play:com.focus.mobile.focus,dsct;habit_apps;planners,0,0,
play:com.focusbff.app,dsct;habit_apps;planners,0,0,
play:com.foruslabs.timebloc,dsct;habit_apps;planners,0,0,Users can customize their schedule and routines but no explicit blacklist or whitelist blocking is described.
play:com.free_simple_apps.habits,habit_apps;planners,0,0,
play:com.fresh.AddictionBlocker,dsct,0,1,
play:com.funginautas.soundscapes,dsct,0,0,
play:com.funnmedia.habitminder,habit_apps;planners,0,0,
play:com.geekydevs.pomodoro_timer,dsct;planners,0,0,
play:com.geniuslogic.focuscore,dsct,0,0,
play:com.gethabithero.app,dsct;habit_apps;planners,0,0,Custom chore/task lists and point settings per child
play:com.giddoyo.study.mate,habit_apps;planners,0,0,
play:com.gmail.jmartindev.timetune,dsct;habit_apps;planners,0,0,Custom time blocks and templates for scheduling
play:com.gohary.habitradar,habit_apps;planners,0,0,
play:com.graspery.www.sink_timer.sink_timer,habit_apps;planners,0,0,
play:com.gravityfocus.app,dsct;habit_apps;planners,0,0,
play:com.gravitypoint.focusblocker,dsct;habit_apps;planners,1,0,
play:com.gravitywell.adhdlove,dsct;habit_apps;planners,0,0,User-created nudges and task selection
play:com.greenapex.timeboxing,planners,0,0,
play:com.growthday,habit_apps;planners,0,0,
play:com.habit.habstick,dsct;habit_apps;planners,0,0,custom habit categories and colors
play:com.habitive,habit_apps;planners,0,0,
play:com.habitomic.android,dsct;habit_apps;planners,0,0,customizable routine planner and personalized habit recommendations
play:com.habittime.app,habit_apps,0,0,
play:com.hamatim.podomoro,dsct;planners,0,0,
play:com.happylife.habitformation,habit_apps,0,0,
play:com.hulidroid.deepwork,dsct;habit_apps;planners,0,0,
play:com.hydroponicglass.deep_work_timer,dsct;habit_apps;planners,0,0,
play:com.hypenet.focused,dsct,0,0,
play:com.infielight.timelee,dsct;habit_apps;planners,0,0,
play:com.jonasbernardo.developer.planejamento_semanal,habit_apps;planners,0,0,
play:com.junhwank.habitjar,habit_apps;planners,0,0,
play:com.just4fun.pomodoro,dsct;habit_apps;planners,0,0,
play:com.justdothis.app,dsct;planners,0,0,
play:com.kappa.teddybear.android,dsct;habit_apps;planners,0,0,custom task and routine scheduling
play:com.keedev.flowtask,dsct;habit_apps,0,0,Custom timer modes and personal setup
play:com.kemblesong.procrastinationapp,dsct;planners,0,0,
play:com.kettnersapps.visualchildrentimer,dsct,0,0,
play:com.kks.habit_loop,dsct;habit_apps;planners,0,0,
play:com.kompanion.habit.android,habit_apps;planners,0,0,
play:com.koshina.visual_timer,dsct,0,0,
play:com.lal.procrastination,planners,0,0,
play:com.lamprof.focus,dsct;habit_apps;planners,0,0,
play:com.lazybyte.examcountdown,dsct;habit_apps;planners,0,0,
play:com.lifeactivator.mobiledetox,dsct;planners,0,1,
play:com.limatech.dayschallenge.dayschallenge,dsct;habit_apps;planners,0,0,"User can create own challenges, indicating custom rules for targets."
play:com.linesix.timeblazer,dsct;habit_apps;planners,0,0,
play:com.llamaapp,planners,0,0,
play:com.luderapp.scrollguard,dsct;habit_apps,1,0,"Customizable blocking of specific content types (Reels, Shorts) per app"
play:com.mental.future.meditation.cbt,planners,0,0,
play:com.merxury.blocker,dsct,0,0,
play:com.metaserve.habithook,dsct;habit_apps;planners,0,0,Flexible scheduling and custom reminders for habits
play:com.mindfulflow.app,dsct;habit_apps;planners,0,0,"Users customize routines, habits, checklists, and visual timelines."
play:com.mintrocket.ticktime,dsct;habit_apps;planners,0,0,
play:com.mjl.appusage,dsct;habit_apps,1,0,
play:com.modexapps.clear,dsct;habit_apps,0,0,
play:com.mogho.pomodoro.timer.focus,dsct;habit_apps;planners,0,0,custom focus modes and session lengths
